iter	Passed	Remaining
226	5901	20096
227	5929	20075
228	5955	20051
229	5981	20025
230	6006	19994
231	6034	19975
232	6060	19949
233	6086	19924
234	6112	19899
235	6140	19879
236	6169	19862
237	6195	19836
238	6221	19809
239	6247	19784
240	6274	19760
241	6301	19736
242	6326	19707
243	6355	19690
244	6384	19673
245	6408	19642
246	6435	19617
247	6462	19596
248	6488	19568
249	6514	19542
250	6540	19515
251	6565	19486
252	6606	19505
253	6632	19480
254	6658	19453
255	6684	19426
256	6710	19399
257	6736	19373
258	6762	19346
259	6790	19325
260	6817	19302
261	6844	19279
262	6870	19254
263	6896	19226
264	6921	19197
265	6948	19173
266	6974	19146
267	7000	19120
268	7027	19097
269	7053	19069
270	7081	19048
271	7108	19026
272	7133	18996
273	7158	18968
274	7187	18947
275	7213	18921
276	7241	18900
277	7270	18881
278	7297	18857
279	7324	18833
280	7350	18808
281	7377	18783
282	7405	18762
283	7432	18738
284	7460	18716
285	7488	18694
286	7514	18668
287	7541	18643
288	7567	18618
289	7594	18594
290	7621	18568
291	7648	18545
292	7677	18526
293	7705	18504
294	7734	18483
295	7761	18459
296	7788	18436
297	7819	18421
298	7850	18404
299	7879	18385
300	7911	18373
301	7940	18352
302	7967	18328
303	7994	18302
304	8021	18278
305	8048	18253
306	8076	18230
307	8106	18212
308	8131	18184
309	8166	18176
310	8195	18157
311	8223	18132
312	8251	18112
313	8279	18089
314	8307	18065
315	8336	18045
316	8363	18019
317	8389	17992
318	8415	17966
319	8442	17939
320	8469	17915
321	8495	17887
322	8523	17865
323	8551	17841
324	8579	17818
325	8605	17792
326	8631	17765
327	8658	17739
328	8684	17713
329	8716	17696
330	8746	17678
331	8774	17653
332	8800	17628
333	8828	17603
334	8854	17577
335	8881	17550
336	8905	17520
337	8934	17498
338	8963	17478
339	8990	17451
340	9017	17427
341	9043	17399
342	9069	17371
343	9096	17346
344	9122	17318
345	9151	17297
346	9194	17302
347	9226	17286
348	9260	17273
349	9291	17254
350	9320	17234
351	9354	17221
352	9387	17205
353	9417	17185
354	9446	17162
355	9475	17140
356	9508	17125
357	9539	17107
358	9572	17091
359	9604	17074
360	9633	17052
361	9663	17031
362	9693	17010
363	9726	16994
364	9758	16977
365	9788	16956
366	9823	16943
367	9852	16920
368	9883	16901
369	9913	16880
370	9944	16859
371	9973	16837
372	10008	16824
373	10040	16805
374	10077	16795
375	10109	16777
376	10142	16761
377	10175	16743
378	10207	16725
379	10239	16706
380	10273	16690
381	10307	16675
382	10341	16659
383	10374	16642
384	10406	16623
385	10437	16602
386	10472	16587
387	10504	16568
388	10538	16552
389	10572	16536
390	10605	16519
391	10640	16503
392	10671	16483
393	10706	16468
394	10736	16445
395	10775	16434
396	10808	16416
397	10839	16395
398	10869	16372
399	10900	16350
400	10931	16328
401	10963	16308
402	10991	16282
403	11019	16256
404	11047	16230
405	11075	16204
406	11107	16183
407	11138	16161
408	11170	16140
409	11198	16114
410	11227	16090
411	11257	16066
412	11286	16040
413	11314	16014
414	11343	15989
415	11385	15982
416	11414	15957
417	11443	15933
418	11472	15908
419	11502	15883
420	11530	15858
421	11559	15832
422	11587	15805
423	11616	15781
424	11646	15757
425	11675	15732
426	11703	15705
427	11733	15681
428	11761	15654
429	11790	15628
430	11818	15603
431	11846	15576
432	11878	15554
433	11906	15528
434	11933	15499
435	11960	15471
436	11986	15443
437	12014	15415
438	12041	15388
439	12071	15364
440	12099	15336
441	12126	15309
442	12153	15280
443	12180	15253
444	12208	15225
445	12235	15198
446	12263	15171
447	12293	15147
448	12324	15124
449	12352	15097
450	12380	15070
451	12407	15042
452	12435	15015
453	12462	14988
454	12489	14959
455	12518	14934
456	12546	14908
457	12574	14881
458	12601	14852
459	12630	14826
460	12659	14801
461	12688	14775
462	12719	14752
463	12753	14732
464	12788	14713
465	12819	14690
466	12851	14667
467	12882	14644
468	12912	14619
469	12942	14594
470	12972	14570
471	13000	14542
472	13031	14518
473	13059	14492
474	13087	14465
475	13115	14438
476	13145	14413
477	13174	14387
478	13204	14362
479	13232	14335
480	13261	14309
481	13289	14282
482	13318	14255
483	13348	14231
484	13376	14203
485	13405	14177
486	13434	14152
487	13462	14124
488	13489	14096
489	13517	14069
490	13544	14040
491	13572	14013
492	13599	13985
493	13627	13958
494	13657	13932
495	13685	13905
496	13712	13878
497	13745	13855
498	13778	13834
499	13809	13809
500	13841	13786
501	13873	13762
502	13902	13736
503	13931	13710
504	13961	13684
505	13989	13658
506	14018	13631
507	14047	13605
508	14078	13580
509	14110	13556
510	14141	13532
511	14174	13510
512	14203	13483
513	14231	13456
514	14260	13429
515	14291	13405
516	14322	13380
517	14351	13354
518	14381	13328
519	14411	13303
520	14440	13276
521	14468	13249
522	14499	13224
523	14527	13197
524	14555	13169
525	14583	13141
526	14611	13113
527	14638	13085
528	14666	13058
529	14694	13031
530	14724	13005
531	14753	12978
532	14781	12951
533	14809	12923
534	14838	12896
535	14867	12870
536	14896	12843
537	14925	12816
538	14955	12791
539	14984	12764
540	15010	12735
541	15040	12709
542	15068	12681
543	15096	12654
544	15123	12626
545	15152	12599
546	15181	12572
547	15208	12543
548	15236	12516
549	15262	12487
550	15292	12461
551	15318	12432
552	15346	12404
553	15375	12378
554	15404	12351
555	15432	12323
556	15460	12296
557	15485	12266
558	15514	12239
559	15543	12212
560	15571	12185
561	15601	12158
562	15630	12132
563	15657	12103
564	15685	12076
565	15712	12048
566	15739	12019
567	15766	11991
568	15793	11963
569	15823	11937
570	15851	11909
571	15879	11881
572	15908	11855
573	15936	11827
574	15965	11800
575	15994	11773
576	16021	11745
577	16053	11720
578	16082	11694
579	16111	11666
580	16140	11639
581	16168	11612
582	16196	11585
583	16225	11558
584	16254	11531
585	16296	11513
586	16326	11486
587	16354	11459
588	16383	11432
589	16412	11405
590	16441	11377
591	16470	11351
592	16499	11323
593	16528	11297
594	16558	11270
595	16586	11243
596	16613	11214
597	16639	11186
598	16667	11158
599	16695	11130
600	16724	11102
601	16754	11076
602	16784	11050
603	16813	11023
604	16841	10995
605	16870	10968
606	16900	10941
607	16928	10914
608	16958	10887
609	16987	10861
610	17017	10834
611	17049	10809
612	17077	10781
613	17106	10754
614	17135	10727
615	17166	10701
616	17198	10675
617	17228	10649
618	17257	10621
619	17286	10594
620	17318	10569
621	17347	10542
622	17377	10515
623	17409	10490
624	17438	10462
625	17465	10434
626	17494	10407
627	17522	10379
628	17550	10351
629	17577	10323
630	17607	10296
631	17636	10269
632	17662	10240
633	17690	10212
634	17721	10186
635	17758	10163
636	17794	10140
637	17830	10117
638	17870	10095
639	17908	10073
640	17942	10048
641	17971	10021
642	17999	9993
643	18029	9966
644	18061	9940
645	18092	9914
646	18121	9886
647	18149	9859
648	18177	9831
649	18206	9803
650	18236	9776
651	18265	9749
652	18296	9722
653	18328	9696
654	18359	9670
655	18388	9642
656	18418	9615
657	18446	9587
658	18475	9560
659	18507	9534
660	18535	9506
661	18564	9478
662	18591	9450
663	18619	9421
664	18647	9393
665	18676	9366
666	18708	9339
667	18738	9312
668	18767	9285
669	18795	9257
670	18824	9229
671	18853	9202
672	18881	9174
673	18909	9146
674	18939	9119
675	18968	9091
676	18996	9063
677	19030	9038
678	19061	9011
679	19091	8984
680	19118	8955
681	19148	8928
682	19178	8901
683	19206	8873
684	19234	8844
685	19261	8816
686	19290	8788
687	19317	8760
688	19344	8731
689	19372	8703
690	19402	8676
691	19428	8647
692	19457	8619
693	19485	8591
694	19512	8562
695	19538	8534
696	19568	8506
697	19598	8479
698	19626	8451
699	19654	8423
700	19681	8394
701	19708	8366
702	19735	8337
703	19762	8309
704	19790	8280
705	19817	8252
706	19847	8225
707	19874	8196
708	19903	8169
709	19930	8140
710	19959	8112
711	19987	8084
712	20015	8056
713	20044	8029
714	20073	8001
715	20102	7973
716	20129	7945
717	20157	7916
718	20184	7888
719	20212	7860
720	20242	7833
721	20273	7806
722	20302	7778
723	20330	7750
724	20358	7722
725	20387	7694
726	20415	7666
727	20442	7637
728	20470	7609
729	20501	7582
730	20528	7554
731	20556	7526
732	20583	7497
733	20609	7468
734	20640	7441
735	20667	7413
736	20695	7385
737	20723	7356
738	20752	7329
739	20781	7301
740	20809	7273
741	20837	7245
742	20864	7216
743	20893	7189
744	20920	7160
745	20948	7132
746	20977	7104
747	21004	7076
748	21031	7047
749	21059	7019
750	21086	6991
751	21113	6962
752	21141	6934
753	21170	6907
754	21211	6883
755	21242	6856
756	21270	6828
757	21299	6800
758	21327	6771
759	21355	6743
760	21384	6716
761	21413	6688
762	21441	6660
763	21469	6631
764	21496	6603
765	21523	6575
766	21551	6547
767	21582	6519
768	21624	6495
769	21676	6474
770	21723	6452
771	21764	6427
772	21795	6400
773	21828	6373
774	21864	6347
775	21896	6320
776	21927	6293
777	21959	6266
778	21991	6238
779	22022	6211
780	22059	6185
781	22092	6158
782	22121	6130
783	22156	6104
784	22196	6079
785	22237	6054
786	22277	6029
787	22324	6006
788	22357	5978
789	22390	5951
790	22421	5924
791	22454	5897
792	22487	5869
793	22523	5843
794	22555	5816
795	22585	5788
796	22615	5760
797	22645	5732
798	22679	5705
799	22719	5679
800	22762	5655
801	22806	5630
802	22849	5605
803	22893	5581
804	22927	5553
805	22960	5526
806	22996	5499
807	23028	5472
808	23059	5444
809	23090	5416
810	23120	5388
811	23151	5360
812	23183	5332
813	23216	5304
814	23248	5277
815	23278	5249
816	23311	5221
817	23342	5193
818	23372	5165
819	23404	5137
820	23436	5109
821	23467	5081
822	23497	5053
823	23528	5025
824	23557	4997
825	23588	4968
826	23618	4940
827	23650	4912
828	23683	4885
829	23714	4857
830	23744	4828
831	23773	4800
832	23805	4772
833	23836	4744
834	23869	4716
835	23899	4688
836	23928	4659
837	23958	4631
838	23989	4603
839	24018	4574
840	24052	4547
841	24084	4519
842	24113	4490
843	24144	4462
844	24176	4434
845	24207	4406
846	24239	4378
847	24273	4350
848	24307	4323
849	24341	4295
850	24372	4267
851	24402	4239
852	24434	4210
853	24465	4182
854	24497	4154
855	24531	4126
856	24562	4098
857	24594	4070
858	24627	4042
859	24660	4014
860	24689	3985
861	24721	3957
862	24752	3929
863	24782	3900
864	24814	3872
865	24846	3844
866	24877	3816
867	24907	3787
868	24938	3759
869	24972	3731
870	25003	3703
871	25035	3674
872	25067	3646
873	25097	3618
874	25126	3589
875	25161	3561
876	25192	3533
877	25223	3504
878	25253	3476
879	25284	3447
880	25314	3419
881	25344	3390
882	25374	3362
883	25404	3333
884	25435	3305
885	25464	3276
886	25496	3248
887	25527	3219
888	25556	3190
889	25589	3162
890	25622	3134
891	25651	3105
892	25683	3077
893	25713	3048
894	25743	3020
895	25773	2991
896	25803	2962
897	25835	2934
898	25865	2905
899	25895	2877
900	25925	2848
901	25953	2819
902	25983	2791
903	26014	2762
904	26046	2734
905	26078	2705
906	26108	2677
907	26139	2648
908	26168	2619
909	26199	2591
910	26229	2562
911	26274	2535
912	26304	2506
913	26333	2477
914	26361	2448
915	26392	2420
916	26421	2391
917	26451	2362
918	26485	2334
919	26517	2305
920	26547	2277
921	26576	2248
922	26607	2219
923	26637	2190
924	26667	2162
925	26700	2133
926	26730	2104
927	26759	2076
928	26789	2047
929	26818	2018
930	26849	1989
931	26879	1961
932	26913	1932
933	26945	1904
934	26976	1875
935	27009	1846
936	27038	1817
937	27071	1789
938	27105	1760
939	27135	1732
940	27166	1703
941	27195	1674
942	27228	1645
943	27258	1617
944	27289	1588
945	27318	1559
946	27352	1530
947	27381	1501
948	27409	1473
949	27438	1444
950	27466	1415
951	27494	1386
952	27522	1357
953	27553	1328
954	27581	1299
955	27609	1270
956	27638	1241
957	27666	1212
958	27694	1184
959	27722	1155
960	27752	1126
961	27782	1097
962	27810	1068
963	27837	1039
964	27866	1010
965	27895	981
966	27922	952
967	27950	923
968	27977	895
969	28005	866
970	28034	837
971	28061	808
972	28089	779
973	28116	750
974	28144	721
975	28172	692
976	28199	663
977	28228	634
978	28255	606
979	28284	577
980	28311	548
981	28339	519
982	28366	490
983	28395	461
984	28422	432
985	28452	403
986	28480	375
987	28508	346
988	28535	317
989	28562	288
990	28590	259
991	28618	230
992	28646	201
993	28676	173
994	28704	144
995	28731	115
996	28759	86
997	28786	57
998	28813	28
999	28842	0
