iter	RMSE
172	0.1404176954
173	0.1401235237
174	0.1397853915
175	0.1394279175
176	0.139169613
177	0.138897857
178	0.1385056276
179	0.1380867102
180	0.1377043051
181	0.1373851837
182	0.1370732022
183	0.1370368333
184	0.1367584629
185	0.1366099313
186	0.1363742135
187	0.1360972721
188	0.1357478364
189	0.1355587684
190	0.1353336354
191	0.1349025815
192	0.1348302698
193	0.1346467387
194	0.1345176299
195	0.1342419749
196	0.1341814848
197	0.1338319394
198	0.1335618754
199	0.1333829091
200	0.1333175128
201	0.1331378281
202	0.1327584145
203	0.1326243003
204	0.1324613557
205	0.1322247806
206	0.1319640535
207	0.1318812443
208	0.1317465484
209	0.1315427138
210	0.131403768
211	0.1312490734
212	0.1310611977
213	0.1306909679
214	0.1306400802
215	0.130488864
216	0.1303864061
217	0.1303345239
218	0.1301056333
219	0.1299430335
220	0.1299109976
221	0.1298610529
222	0.1295970489
223	0.129395432
224	0.1291068837
225	0.1290627712
226	0.1286150044
227	0.128464094
228	0.1281741831
229	0.1279210396
230	0.1277091166
231	0.1275084137
232	0.1271896298
233	0.1270822579
234	0.1269073218
235	0.1267429894
236	0.1265257559
237	0.1262408927
238	0.1260035377
239	0.1257791276
240	0.1255721985
241	0.1253660628
242	0.1252423505
243	0.1251564475
244	0.1251259027
245	0.1248486574
246	0.1246315843
247	0.1244371396
248	0.124368209
249	0.1242852405
250	0.1240582259
251	0.1238649551
252	0.1237063613
253	0.1233612126
254	0.1230622571
255	0.1230252071
256	0.1227465287
257	0.1224358529
258	0.1222296551
259	0.1221965723
260	0.1221596073
261	0.1220326757
262	0.1217778148
263	0.1216686529
264	0.1216046009
265	0.1214574239
266	0.1213325967
267	0.121102832
268	0.1209330415
269	0.1207387
270	0.1203796045
271	0.1203439338
272	0.1203117187
273	0.1201422418
274	0.119982749
275	0.1196287054
276	0.119355584
277	0.1191665008
278	0.118997441
279	0.1188773269
280	0.1187072022
281	0.1183234383
282	0.1181384494
283	0.1181093328
284	0.1179601353
285	0.1178181499
286	0.1176837951
287	0.1175540888
288	0.1173761047
289	0.1171878789
290	0.1170035256
291	0.1168122359
292	0.1166767811
293	0.1164290804
294	0.1162930494
295	0.1161946713
296	0.116170574
297	0.1160053272
298	0.1159798684
299	0.1156767335
300	0.1155623133
301	0.1154694297
302	0.1152913697
303	0.115168664
304	0.1150717049
305	0.1149507504
306	0.1147565419
307	0.1146032618
308	0.1145166828
309	0.1144920631
310	0.1143328733
311	0.1142151703
312	0.1140479822
313	0.1139615681
314	0.1139331231
315	0.113819818
316	0.1136598353
317	0.1136336044
318	0.1136159487
319	0.1134390727
320	0.113325787
321	0.1131956179
322	0.1130642011
323	0.1129299482
324	0.1129078214
325	0.1127928737
326	0.1126890382
327	0.1124089609
328	0.1123103489
329	0.1122097762
330	0.1118542701
331	0.1117046528
332	0.1115514839
333	0.1115285782
334	0.1111354839
335	0.1110161579
336	0.1108542913
337	0.110714737
338	0.1106915232
339	0.1106709007
340	0.1104629068
341	0.110369039
342	0.1102355896
343	0.1100727838
344	0.1097623546
345	0.1095782818
346	0.1092454604
347	0.1090781687
348	0.1089670974
349	0.1089437881
350	0.1088768046
351	0.1088530035
352	0.1088331849
353	0.1087488129
354	0.1087302946
355	0.1086353865
356	0.1085056891
357	0.1083514525
358	0.1082074861
359	0.1079484261
360	0.1077988421
361	0.1077795905
362	0.1077605047
363	0.1076122905
364	0.1075923503
365	0.1075693139
366	0.1072581883
367	0.1072425117
368	0.1071234958
369	0.1069437723
370	0.1068600146
371	0.1066257782
372	0.1065227611
373	0.1064219959
374	0.1063764653
375	0.1061380806
376	0.1058328269
377	0.105711578
378	0.1054979144
379	0.1053830527
380	0.1053653324
381	0.1052082989
382	0.1050738518
383	0.104910347
384	0.1047512588
385	0.1046547144
386	0.1045235458
387	0.10439596
388	0.10415945
389	0.1039960793
390	0.1038493892
391	0.1036374151
392	0.1035363529
393	0.1034087683
394	0.1033144379
395	0.1031749201
396	0.1031577009
397	0.1030493591
398	0.102869843
399	0.1027341358
400	0.1027170885
401	0.102557235
402	0.1025205344
403	0.102398911
404	0.1023825434
405	0.1022503642
406	0.1022339405
407	0.1021431698
408	0.1021248478
409	0.1019956544
410	0.1019069669
411	0.1017510778
412	0.101616057
413	0.101512455
414	0.1013742893
415	0.1012233455
416	0.1010835087
417	0.1009986888
418	0.1008252693
419	0.100683927
420	0.100523265
421	0.100421262
422	0.1002979925
423	0.1002856352
424	0.1002701072
425	0.100137559
426	0.1000970426
427	0.09997325789
428	0.09978951619
429	0.09977264715
430	0.09963793425
431	0.09937394069
432	0.09929920369
433	0.09907060254
434	0.09899187481
435	0.09892023337
436	0.09875916106
437	0.09874425008
438	0.09858563496
439	0.09847006444
440	0.09837254317
441	0.09830226083
442	0.09820752962
443	0.09819085053
444	0.09812089703
445	0.09788423594
446	0.09777123591
447	0.09775672408
448	0.09758440149
449	0.09749342021
450	0.09735303188
451	0.0972777005
452	0.09726277534
453	0.09724660997
454	0.09714440413
455	0.09703876926
456	0.09692767281
457	0.09680170344
458	0.09665079593
459	0.09663479859
460	0.09658497823
461	0.09646823539
462	0.09633672282
463	0.09626094094
464	0.09593818536
465	0.09578282227
466	0.09568553046
467	0.09561486892
468	0.0954250858
469	0.09536173575
470	0.09527041644
471	0.09504698942
472	0.09487012738
473	0.09475716587
474	0.09463340469
475	0.09451062702
476	0.09445691045
477	0.09436482669
478	0.09424217536
479	0.09416128652
480	0.09412769277
481	0.09403065869
482	0.09384009014
483	0.0937991135
484	0.09378559738
485	0.09374489476
486	0.09358285105
487	0.09355546021
488	0.09352408544
489	0.09342507061
490	0.09321670733
491	0.09311747031
492	0.09290608595
493	0.09280989871
494	0.09279499529
495	0.09278272061
496	0.09272193058
497	0.09257688726
498	0.09252611386
499	0.09239374333
500	0.09227949103
501	0.09224369119
502	0.09209650991
503	0.09197840083
504	0.09178554098
505	0.09168926742
506	0.09160127689
507	0.0912857715
508	0.09114487998
509	0.09108886658
510	0.09105125715
511	0.09101621317
512	0.09096100165
513	0.09094670073
514	0.09079328441
515	0.0906190342
516	0.09051262322
517	0.09029815583
518	0.09020131952
519	0.09011837145
520	0.09002723128
521	0.08983380042
522	0.08972579315
523	0.08962011613
524	0.08953106527
525	0.08941001783
526	0.08937526875
527	0.08924901526
528	0.08895782529
529	0.08878777355
530	0.08868125062
531	0.08858106866
532	0.08833681162
533	0.08814377659
534	0.08803363873
535	0.08794258779
536	0.08767093041
537	0.08757195694
538	0.08755939157
539	0.08750433139
540	0.08723826882
541	0.08713155621
542	0.08707610183
543	0.0870180267
544	0.08695627331
545	0.08681472114
546	0.0868012551
547	0.08671073836
548	0.08667803238
549	0.08664607753
550	0.08655597066
551	0.08654231451
552	0.08642290499
553	0.08636934387
554	0.0863448407
555	0.08620937005
556	0.08605538824
557	0.08599241041
558	0.08598000791
559	0.08596779281
560	0.08595455422
561	0.08588313786
562	0.08584485033
563	0.08572961606
564	0.08554437006
565	0.08549649001
566	0.0852893643
567	0.08522201138
568	0.0851556089
569	0.08503045077
570	0.0849349893
571	0.08484909408
572	0.08462070538
573	0.08437742086
574	0.08424241807
575	0.08414841383
576	0.0839935988
577	0.08377657743
578	0.0836863639
579	0.08365210589
580	0.08347879578
581	0.08325454898
582	0.08324147583
583	0.08322964919
584	0.08309094911
585	0.08303561907
586	0.08302374738
587	0.08301273784
588	0.08300034148
589	0.08294024964
590	0.08280709608
591	0.08273262299
592	0.08264768275
593	0.0826089958
594	0.08258146736
595	0.0823668313
596	0.08235471067
597	0.0822221774
598	0.08196416311
599	0.08182999748
600	0.08173855818
601	0.08156852733
602	0.08145965508
603	0.08143197465
604	0.0813030532
605	0.0812170412
606	0.08118865567
607	0.08114112048
608	0.08111046756
609	0.0810199419
610	0.08098667721
611	0.08097485187
612	0.08088940166
613	0.08082712155
614	0.08074133294
615	0.0807313491
616	0.08065014015
617	0.08059195132
618	0.0805011688
619	0.08045498835
620	0.08036066422
621	0.08031589569
622	0.08022559216
623	0.08013872791
624	0.08012833515
625	0.08011701596
626	0.08010588087
627	0.07997741705
628	0.07995381786
629	0.07984245163
630	0.07976013307
631	0.0796896983
632	0.07966172387
633	0.07958226303
634	0.07953848783
635	0.07950593003
636	0.0794536862
637	0.07940818612
638	0.07933433007
639	0.07926772126
640	0.07921727703
641	0.07919265489
642	0.07912150819
643	0.0790115725
644	0.07899277157
645	0.07896494729
646	0.07885179489
647	0.07880655701
648	0.07876651162
649	0.07873696334
650	0.07871311075
651	0.07863066479
652	0.07854004266
653	0.07843250477
654	0.07840987506
655	0.07833097658
656	0.07830505901
657	0.07822844207
658	0.07814011095
659	0.07806532881
660	0.07799028822
661	0.07796829726
662	0.07786883852
663	0.07765553878
664	0.07749549702
665	0.0774406105
666	0.07743078176
667	0.07731825056
668	0.07715385713
669	0.07708131368
670	0.07707098477
671	0.07693619471
672	0.07691415716
673	0.07675400094
674	0.07670437562
675	0.07661396316
676	0.07659060935
677	0.07643273822
678	0.07636565912
679	0.07628367073
680	0.07623034093
681	0.07615068654
682	0.07594703237
683	0.07584312316
684	0.07571528259
685	0.07570503721
686	0.07563646515
687	0.07559475228
688	0.07552374168
689	0.07532674705
690	0.07530661015
691	0.07522765824
692	0.07520637318
693	0.07512893744
694	0.07497940424
695	0.07496798606
696	0.07488165191
697	0.07466636379
698	0.07465608773
699	0.07463596396
700	0.0745517086
701	0.07448585783
702	0.07442177533
703	0.07435897816
704	0.07434838821
705	0.07433865948
706	0.07431683615
707	0.0742978512
708	0.07410552116
709	0.07409757926
710	0.07401739093
711	0.07395253997
712	0.07388536214
713	0.0738227161
714	0.07380398202
715	0.07373037852
716	0.07372096945
717	0.07349859676
718	0.07342399998
719	0.07339480284
720	0.07337190914
721	0.07331099236
722	0.07311127133
723	0.07310279995
724	0.07301653532
725	0.07295249087
726	0.07284029502
727	0.07278505112
728	0.07276781676
729	0.07269487922
730	0.07267673111
731	0.07261696382
732	0.07250139386
733	0.0724928208
734	0.07243846352
735	0.07237105109
736	0.07235121356
737	0.07231644853
738	0.07227664756
739	0.07220342721
740	0.07213839994
741	0.07203202982
742	0.07201179453
743	0.07199014621
744	0.07197236681
745	0.07182564351
746	0.07181661672
747	0.07175839494
748	0.07170629625
749	0.07169045556
750	0.07167284243
751	0.07161590595
752	0.07147882557
753	0.07130141193
754	0.07109570596
755	0.07107669319
756	0.07090712072
757	0.07083208095
758	0.07077266723
759	0.07063350441
760	0.07058352148
761	0.07046618854
762	0.070430812
763	0.07041124623
764	0.07036806662
765	0.07020128428
766	0.07015541612
767	0.07010462559
768	0.07007060436
769	0.0700041253
770	0.06998894822
771	0.06990899883
772	0.06987351135
773	0.06984305179
774	0.06981680816
775	0.06979918447
776	0.06969929173
777	0.06965704638
778	0.0695658249
779	0.06940676
780	0.06937801262
781	0.06922698986
782	0.06916315195
783	0.06906922514
784	0.06899767214
785	0.0689897737
786	0.0689032838
787	0.06875477068
788	0.06859945008
789	0.06853550713
790	0.06847194491
791	0.06834374241
792	0.06828689146
793	0.06823414574
794	0.06819518727
795	0.06816346824
796	0.06813262174
797	0.0681194793
798	0.06806263706
799	0.06791489962
800	0.0679059799
801	0.06788989442
802	0.06787430316
803	0.06781116966
804	0.06780205834
805	0.06776431982
806	0.06768479515
807	0.0675317903
808	0.06740774896
809	0.06734857508
810	0.06719353845
811	0.06714384723
812	0.06710890419
813	0.06702740587
814	0.06695582571
815	0.06683994642
816	0.06680579988
817	0.06674737985
818	0.06669914597
819	0.06666436755
820	0.06652216311
821	0.06649502619
822	0.06637250013
823	0.06631246016
824	0.06628317523
825	0.06622865104
826	0.06620157516
827	0.0661185373
828	0.06611000656
829	0.06596713057
830	0.06595500208
831	0.0658982223
832	0.06588990485
833	0.06576378733
834	0.06575525165
835	0.06569301631
836	0.06557293755
837	0.06556215538
838	0.06552799901
839	0.06548807008
840	0.06545394704
841	0.06531130531
842	0.06527304392
843	0.06526557804
844	0.06523580163
845	0.0652043978
846	0.06504368674
847	0.06497684476
848	0.06494996721
849	0.06491936832
850	0.06478378995
851	0.06473079362
852	0.06461581614
853	0.06460063682
854	0.06445401962
855	0.06440126641
856	0.06434684031
857	0.06432449754
858	0.06431138409
859	0.0642536834
860	0.06415613567
861	0.06414779681
862	0.06408706876
863	0.06398440117
864	0.06396446404
865	0.06395709517
866	0.06394795951
867	0.06386135768
868	0.06384560655
869	0.0637193092
870	0.06368939098
871	0.06366879014
872	0.06361659558
873	0.06350799763
874	0.06346620835
875	0.06338296221
876	0.06329391544
877	0.06324560711
878	0.06319544891
879	0.06316573683
880	0.06310630257
881	0.06309202069
882	0.06295088104
883	0.06294374137
884	0.06281756527
885	0.06281043555
886	0.06279935017
887	0.0627894165
888	0.06269234353
889	0.06256930362
890	0.06252587734
891	0.06251832282
892	0.06240135558
893	0.06238730163
894	0.06236806727
895	0.06224367077
896	0.06213204095
897	0.06204060875
898	0.06192444036
899	0.06187715791
900	0.06186538006
901	0.06185121034
902	0.0618426944
903	0.06182939034
904	0.0618191033
905	0.06176318469
906	0.06172541929
907	0.06167906741
908	0.0615584331
909	0.06149966642
910	0.06148949407
911	0.06145341999
912	0.06144365696
913	0.06135603673
914	0.06130608018
915	0.06127845128
916	0.06126893736
917	0.06125484598
918	0.0612092269
919	0.06119937747
920	0.06114991763
921	0.06112223086
922	0.06111470008
923	0.06110429544
924	0.06106124238
925	0.06097806366
926	0.06091576423
927	0.06090998779
928	0.06078840628
929	0.0607483054
930	0.06065773202
931	0.06064544669
932	0.06055344023
933	0.06054455261
934	0.06049938006
935	0.0604384993
936	0.06043163603
937	0.06039828006
938	0.06032193659
939	0.06021301612
940	0.06020372764
941	0.0601318212
942	0.0600934183
943	0.0600867649
944	0.06007676563
945	0.06007003621
946	0.05995108378
947	0.05994002035
948	0.05987434773
949	0.05983144076
950	0.05974182054
951	0.05972437534
952	0.05968707623
953	0.0596746338
954	0.05966398894
955	0.0596361389
956	0.0595942402
957	0.05951027572
958	0.05950637199
959	0.05939044851
960	0.05931507355
961	0.05930839279
962	0.05926822458
963	0.05923552294
964	0.05920136646
965	0.05909058339
966	0.05906566425
967	0.05902742438
968	0.05902139555
969	0.0589813872
970	0.05888939276
971	0.05878120487
972	0.05872622663
973	0.05870518866
974	0.0585903427
975	0.05850573438
976	0.05842304895
977	0.05841824721
978	0.05841284064
979	0.05831906196
980	0.05831090454
981	0.05819997318
982	0.05816095244
983	0.05812777966
984	0.05802225931
985	0.05801551658
986	0.05792282199
987	0.05782656902
988	0.05775430413
989	0.05765619575
990	0.05762614997
991	0.05757817639
992	0.05749294022
993	0.05748451022
994	0.05745894951
995	0.05740074604
996	0.05736692479
997	0.05733060956
998	0.05723926496
999	0.05716626481
